trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
121,12:27:00,12:27:00,5102284,1, , , , ,1
121,12:27:30,12:27:30,5103411,2, , , , ,0
121,12:28:00,12:28:00,5106880,3, , , , ,0
121,12:28:30,12:28:30,5106881,4, , , , ,0
121,12:38:00,12:38:00,5106882,5, , , , ,1
121,12:38:30,12:38:30,5106883,6, , , , ,0
121,12:39:00,12:39:00,5106884,7, , , , ,0
121,12:39:30,12:39:30,5102992,8, , , , ,0
121,12:40:00,12:40:00,5102993,9, , , , ,0
121,12:40:30,12:40:30,5102994,10, , , , ,0
121,12:41:00,12:41:00,5102995,11, , , , ,0
121,12:41:30,12:41:30,5102996,12, , , , ,0
121,12:47:00,12:47:00,5102284,13, , , , ,1
122,12:57:00,12:57:00,5102284,1, , , , ,1
122,12:57:30,12:57:30,5103411,2, , , , ,0
122,12:58:00,12:58:00,5106880,3, , , , ,0
122,12:58:30,12:58:30,5106881,4, , , , ,0
122,13:08:00,13:08:00,5106882,5, , , , ,1
122,13:08:30,13:08:30,5106883,6, , , , ,0
122,13:09:00,13:09:00,5106884,7, , , , ,0
122,13:09:30,13:09:30,5102992,8, , , , ,0
122,13:10:00,13:10:00,5102993,9, , , , ,0
122,13:10:30,13:10:30,5102994,10, , , , ,0
122,13:11:00,13:11:00,5102995,11, , , , ,0
122,13:11:30,13:11:30,5102996,12, , , , ,0
122,13:17:00,13:17:00,5102284,13, , , , ,1
123,13:27:00,13:27:00,5102284,1, , , , ,1
123,13:27:30,13:27:30,5103411,2, , , , ,0
123,13:28:00,13:28:00,5106880,3, , , , ,0
123,13:28:30,13:28:30,5106881,4, , , , ,0
123,13:38:00,13:38:00,5106882,5, , , , ,1
123,13:38:30,13:38:30,5106883,6, , , , ,0
123,13:39:00,13:39:00,5106884,7, , , , ,0
123,13:39:30,13:39:30,5102992,8, , , , ,0
123,13:40:00,13:40:00,5102993,9, , , , ,0
123,13:40:30,13:40:30,5102994,10, , , , ,0
123,13:41:00,13:41:00,5102995,11, , , , ,0
123,13:41:30,13:41:30,5102996,12, , , , ,0
123,13:47:00,13:47:00,5102284,13, , , , ,1
124,13:57:00,13:57:00,5102284,1, , , , ,1
124,13:57:30,13:57:30,5103411,2, , , , ,0
124,13:58:00,13:58:00,5106880,3, , , , ,0
124,13:58:30,13:58:30,5106881,4, , , , ,0
124,14:08:00,14:08:00,5106882,5, , , , ,1
124,14:08:30,14:08:30,5106883,6, , , , ,0
124,14:09:00,14:09:00,5106884,7, , , , ,0
124,14:09:30,14:09:30,5102992,8, , , , ,0
124,14:10:00,14:10:00,5102993,9, , , , ,0
124,14:10:30,14:10:30,5102994,10, , , , ,0
124,14:11:00,14:11:00,5102995,11, , , , ,0
124,14:11:30,14:11:30,5102996,12, , , , ,0
124,14:17:00,14:17:00,5102284,13, , , , ,1
125,14:27:00,14:27:00,5102284,1, , , , ,1
125,14:27:30,14:27:30,5103411,2, , , , ,0
125,14:28:00,14:28:00,5106880,3, , , , ,0
125,14:28:30,14:28:30,5106881,4, , , , ,0
125,14:38:00,14:38:00,5106882,5, , , , ,1
125,14:38:30,14:38:30,5106883,6, , , , ,0
125,14:39:00,14:39:00,5106884,7, , , , ,0
125,14:39:30,14:39:30,5102992,8, , , , ,0
125,14:40:00,14:40:00,5102993,9, , , , ,0
125,14:40:30,14:40:30,5102994,10, , , , ,0
125,14:41:00,14:41:00,5102995,11, , , , ,0
125,14:41:30,14:41:30,5102996,12, , , , ,0
125,14:47:00,14:47:00,5102284,13, , , , ,1
126,14:57:00,14:57:00,5102284,1, , , , ,1
126,14:57:30,14:57:30,5103411,2, , , , ,0
126,14:58:00,14:58:00,5106880,3, , , , ,0
126,14:58:30,14:58:30,5106881,4, , , , ,0
126,15:08:00,15:08:00,5106882,5, , , , ,1
126,15:08:30,15:08:30,5106883,6, , , , ,0
126,15:09:00,15:09:00,5106884,7, , , , ,0
126,15:09:30,15:09:30,5102992,8, , , , ,0
126,15:10:00,15:10:00,5102993,9, , , , ,0
126,15:10:30,15:10:30,5102994,10, , , , ,0
126,15:11:00,15:11:00,5102995,11, , , , ,0
126,15:11:30,15:11:30,5102996,12, , , , ,0
126,15:17:00,15:17:00,5102284,13, , , , ,1
127,15:27:00,15:27:00,5102284,1, , , , ,1
127,15:27:30,15:27:30,5103411,2, , , , ,0
127,15:28:00,15:28:00,5106880,3, , , , ,0
127,15:28:30,15:28:30,5106881,4, , , , ,0
127,15:38:00,15:38:00,5106882,5, , , , ,1
127,15:38:30,15:38:30,5106883,6, , , , ,0
127,15:39:00,15:39:00,5106884,7, , , , ,0
127,15:39:30,15:39:30,5102992,8, , , , ,0
127,15:40:00,15:40:00,5102993,9, , , , ,0
127,15:40:30,15:40:30,5102994,10, , , , ,0
127,15:41:00,15:41:00,5102995,11, , , , ,0
127,15:41:30,15:41:30,5102996,12, , , , ,0
127,15:47:00,15:47:00,5102284,13, , , , ,1
128,15:57:00,15:57:00,5102284,1, , , , ,1
128,15:57:30,15:57:30,5103411,2, , , , ,0
128,15:58:00,15:58:00,5106880,3, , , , ,0
128,15:58:30,15:58:30,5106881,4, , , , ,0
128,16:08:00,16:08:00,5106882,5, , , , ,1
128,16:08:30,16:08:30,5106883,6, , , , ,0
128,16:09:00,16:09:00,5106884,7, , , , ,0
128,16:09:30,16:09:30,5102992,8, , , , ,0
128,16:10:00,16:10:00,5102993,9, , , , ,0
128,16:10:30,16:10:30,5102994,10, , , , ,0
128,16:11:00,16:11:00,5102995,11, , , , ,0
128,16:11:30,16:11:30,5102996,12, , , , ,0
128,16:17:00,16:17:00,5102284,13, , , , ,1
129,16:27:00,16:27:00,5102284,1, , , , ,1
129,16:27:30,16:27:30,5103411,2, , , , ,0
129,16:28:00,16:28:00,5106880,3, , , , ,0
129,16:28:30,16:28:30,5106881,4, , , , ,0
129,16:38:00,16:38:00,5106882,5, , , , ,1
129,16:38:30,16:38:30,5106883,6, , , , ,0
