stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
5102615,2000,Lincoln Way at Beach Avenue Eastbound, ,42.022588,-93.638996, , , , 
5102291,2001,Lincoln Way at Beach Avenue Westbound, ,42.022885,-93.640043, , , , 
5102614,2010,Buchanan Hall, ,42.022653,-93.642449, , , , 
5102292,2011,Lincoln Way at Union Drive Westbound, ,42.02288,-93.642245, , , , 
5102613,2020,Lincoln Way at Lynn Avenue Eastbound, ,42.02263,-93.645728, , , , 
5102293,2021,Lincoln Way at Lynn Avenue Westbound, ,42.022904,-93.646963, , , , 
5102612,2030,Kingland Systems, ,42.022665,-93.649176, , , , 
5107634,2040,Lake Laverne West, ,42.023521,-93.649535, , , , 
5106844,2041,Lower Friley, ,42.02356,-93.649892, , , , 
5108902,2050,Upper Friley, ,42.02495,-93.65054, , , , 
5108903,2051,Student Services, ,42.025238,-93.650698, , , , 
5108904,2060,State Gym, ,42.02529,-93.652687, , , , 
5108905,2061,Beyer Hall, ,42.025468,-93.652962, , , , 
5102609,2070,West Street at Hyland Avenue Eastbound, ,42.025286,-93.654644, , , , 
5102296,2071,West Street at Hyland Avenue Westbound, ,42.02542,-93.655426, , , , 
5106843,2100,Morrill Road at Union Drive, ,42.024369,-93.646972, , , , 
5104703,2101,Morrill Road at Memorial Union, ,42.023744,-93.646756, , , , 
5107635,2110,Lake Laverne North, ,42.024001,-93.648997, , , , 
5108487,2200,Maple Hall, ,42.02383,-93.639189, , , , 
5103894,2201,Beach Road at Linden Hall, ,42.023227,-93.639559, , , , 
5108488,2210,Lied Recreation, ,42.026433,-93.638884, , , , 
5103893,2211,Beach Road at Forker Hall, ,42.026151,-93.639074, , , , 
5108489,2221,General Services South, ,42.027339,-93.640678, , , , 
5108490,2230,General Services West, ,42.028166,-93.641402, , , , 
5103892,2231,Agronomy Hall, ,42.028186,-93.64162, , , , 
5104701,2241,Parks Library East, ,42.027906,-93.64811, , , , 
5104702,2251,Beardshear Hall, ,42.026063,-93.64807, , , , 
5108906,2260,Campanile, ,42.024678,-93.646176, , , , 
5107636,2261,Memorial Union North, ,42.024503,-93.64597, , , , 
6169751,2270,Wallace Road at Gerdin Hall, ,42.02525,-93.643823, , , , 
5108908,2271,Wallace Road at East Parking Deck, ,42.025395,-93.64341, , , , 
5108909,2280,Food Sciences Building, ,42.026475,-93.642305, , , , 
5108910,2281,Wallace Road at Forker Hall, ,42.026622,-93.641944, , , , 
5107637,2311,Union Drive at the Knoll, ,42.02386,-93.643086, , , , 
5104700,2490,University Boulevard at Meats Laboratory, ,42.030427,-93.643653, , , , 
5105288,2491,University Boulevard at Horse Barn, ,42.030636,-93.644028, , , , 
5103402,2500,Bessey Hall, ,42.028823,-93.644, , , , 
5103003,2501,Kildee Hall, ,42.028939,-93.644446, , , , 
5108491,2511,Physics Hall, ,42.028952,-93.646871, , , , 
5103401,2520,Parks Library North, ,42.028823,-93.648553, , , , 
5103004,2521,Gilman Hall, ,42.028969,-93.648883, , , , 
5103400,2530,Coover Hall, ,42.028811,-93.650825, , , , 
5103005,2531,Armory, ,42.028959,-93.650989, , , , 
5108912,2540,Sweeney Hall, ,42.027664,-93.651762, , , , 
5108913,2541,Howe Hall, ,42.028172,-93.652068, , , , 
5107912,3261,Mortensen Road at West Bus Turnaround, ,42.015501,-93.695767, , , , 
5107913,3264,Mortensen Road at Lawrence Avenue Eastbound, ,42.014099,-93.692263, , , , 
5107920,3265,Mortensen Road at Lawrence Avenue Westbound, ,42.014391,-93.69243, , , , 
5107914,3270,Mortensen Road at Wilder Boulevard Eastbound, ,42.013599,-93.688828, , , , 
5107919,3271,Mortensen Road at Wilder Boulevard Westbound, ,42.013884,-93.689227, , , , 
5107915,3280,Mortensen Road at Miller Avenue Eastbound, ,42.013476,-93.686611, , , , 
5107918,3281,Mortensen Road at Miller Avenue Westbound, ,42.01384,-93.68721, , , , 
5107916,3290,Mortensen Road at Poe Avenue Eastbound, ,42.012804,-93.684451, , , , 
5107917,3291,Mortensen Road at Poe Avenue Westbound, ,42.012711,-93.683258, , , , 
5102307,3300,Mortensen Road at Coconino Road Eastbound, ,42.011964,-93.675789, , , , 
5102599,3301,Mortensen Road at Pinon Road Westbound, ,42.01217,-93.675111, , , , 
5102308,3310,Mortensen Road at Dotson Drive Eastbound, ,42.011979,-93.673212, , , , 
5108914,3320,Mortensen Road at Seagrave Boulevard Eastbound, ,42.01193,-93.670818, , , , 
5108915,3321,Mortensen Road at Seagrave Boulevard Westbound, ,42.012141,-93.672024, , , , 
5102598,3333,Ames Middle School, ,42.012254,-93.671501, , , , 
5106842,3440,Alcott Avenue at Todd Drive, ,42.022254,-93.682122, , , , 
5106847,3450,Todd Drive at Thackery Avenue, ,42.021847,-93.684477, , , , 
5106846,3461,Lincoln Way at Alcott Avenue, ,42.023049,-93.682413, , , , 
5108916,3470,Dickenson Avenue at Mortensen Road, ,42.012642,-93.681548, , , , 
5108917,3480,Dickenson Avenue at Steinbeck Street, ,42.01401,-93.681011, , , , 
5108918,3490,Steinbeck Street at South Dakota Avenue, ,42.014449,-93.679159, , , , 
5102306,3494,South Dakota Avenue at Steinbeck Street Southbound, ,42.014332,-93.678762, , , , 
5102600,3500,South Dakota Avenue at Clemens Boulevard Northbound, ,42.018121,-93.678546, , , , 
5102305,3501,South Dakota Avenue at Clemens Boulevard Southbound, ,42.017646,-93.678797, , , , 
5102601,3510,South Dakota Avenue at Todd Drive Northbound, ,42.021448,-93.678586, , , , 
5102304,3511,South Dakota Avenue at Todd Drive Southbound, ,42.021118,-93.678849, , , , 
5102303,3521,South Dakota Avenue at Lincoln Swing Southbound, ,42.022214,-93.67885, , , , 
5102602,3530,Lincoln Way at South Dakota Avenue Eastbound, ,42.022858,-93.678207, , , , 
5106845,3531,Lincoln Way at North Dakota Avenue Westbound, ,42.023078,-93.679163, , , , 
5102603,3540,Lincoln Way at Beedle Drive Eastbound, ,42.022805,-93.672749, , , , 
5102302,3541,Lincoln Way at Hickory Drive Westbound, ,42.023042,-93.673574, , , , 
5102604,3550,Lincoln Way at Marshall Avenue Eastbound, ,42.022714,-93.668477, , , , 
5102301,3551,Lincoln Way at Marshall Avenue Westbound, ,42.02299,-93.669939, , , , 
5102605,3560,Lincoln Way at South Franklin Avenue Eastbound, ,42.022724,-93.664293, , , , 
5102300,3561,Lincoln Way at Franklin Avenue Westbound, ,42.022915,-93.665587, , , , 
5102606,3570,Lincoln Way at South Wilmoth Avenue Eastbound, ,42.022674,-93.661344, , , , 
5102299,3571,Lincoln Way at Wilmoth Avenue Westbound, ,42.022858,-93.662071, , , , 
5102607,3580,Lincoln Way at State Avenue Eastbound, ,42.022637,-93.658473, , , , 
5102298,3581,Lincoln Way at State Avenue Westbound, ,42.022812,-93.659419, , , , 
5102608,3590,Hyland Avenue at Lincoln Way Northbound, ,42.023146,-93.655497, , , , 
5102297,3591,Hyland Avenue at Lincoln Way Southbound, ,42.023023,-93.655704, , , , 
5102611,3700,Lincoln Way at Sheldon Avenue Eastbound, ,42.022664,-93.653268, , , , 
5103006,3800,Hyland Avenue at Sheldon Avenue Northbound, ,42.028536,-93.655579, , , , 
5103399,3801,Hyland Avenue at Oakland Street Southbound, ,42.028438,-93.655807, , , , 
5103007,3810,Hyland Avenue at Forest Hills Drive Northbound, ,42.030836,-93.655563, , , , 
5103398,3811,Hyland Avenue at Forest Hills Drive Southbound, ,42.031008,-93.655781, , , , 
5103008,3820,Hyland Avenue at Ross Road Northbound, ,42.033309,-93.655512, , , , 
5103397,3831,Hyland Avenue at Ontario Street Southbound, ,42.034073,-93.655732, , , , 
5103009,3841,Ontario Street at Hyland Avenue Westbound, ,42.034555,-93.657136, , , , 
5103396,3850,Ontario Street at Iowa Avenue Eastbound, ,42.034387,-93.658913, , , , 
5103010,3851,Ontario Street at Iowa Circle Westbound, ,42.034548,-93.659579, , , , 
5103395,3860,Ontario Street at Wisconsin Avenue Eastbound, ,42.034387,-93.661361, , , , 
5103011,3861,Ontario Street at Minnesota Avenue Westbound, ,42.034547,-93.662536, , , , 
5103394,3870,Ontario Street at Scholl Road Eastbound, ,42.034391,-93.665145, , , , 
