from_stop_id,to_stop_id,transfer_type,min_transfer_time
5106844,5106844,0, 
5107634,5107634,0, 
5106844,5107634,0, 
5107634,5106844,0, 
5108903,5108903,0, 
5108902,5108902,0, 
5108903,5108902,0, 
5108902,5108903,0, 
5108904,5108904,0, 
5108905,5108905,0, 
5108904,5108905,0, 
5108905,5108904,0, 
5103003,5103003,0, 
5103402,5103402,0, 
5103003,5103402,0, 
5103402,5103003,0, 
5102284,5102284,0, 
5102621,5102621,0, 
5102284,5102621,0, 
5102621,5102284,0, 
5102268,5102268,0, 
5103889,5103889,0, 
5103897,5103897,0, 
5103889,5103897,0, 
5103897,5103889,0, 
5103894,5102291,0, 
5103894,5102615,0, 
5102291,5103894,0, 
5102615,5103894,0, 
5108487,5102291,0, 
5108487,5102615,0, 
5102291,5108487,0, 
5102615,5108487,0, 
5108912,5108913,0, 
5108913,5108912,0, 
5103004,5103401,0, 
5103401,5103004,0, 
5103004,5103004,0, 
5103401,5103401,0, 
